" ""local_time"": ""America/Chicago"""," ""electricity"": ""kW""}"
7/4/2019 0:00,0.019
7/4/2019 1:00,0.011
7/4/2019 2:00,0.004
7/4/2019 3:00,0.002
7/4/2019 4:00,0.001
7/4/2019 5:00,0.002
7/4/2019 6:00,0.002
7/4/2019 7:00,0.001
7/4/2019 8:00,0.013
7/4/2019 9:00,0.01
7/4/2019 10:00,0.005
7/4/2019 11:00,0.002
7/4/2019 12:00,0.001
7/4/2019 13:00,0.001
7/4/2019 14:00,0.001
7/4/2019 15:00,0.001
7/4/2019 16:00,0.005
7/4/2019 17:00,0.015
7/4/2019 18:00,0.018
7/4/2019 19:00,0.024
7/4/2019 20:00,0.036
7/4/2019 21:00,0.04
7/4/2019 22:00,0.026
7/4/2019 23:00,0.009
7/5/2019 0:00,0.003
7/5/2019 1:00,0.002
7/5/2019 2:00,0.002
7/5/2019 3:00,0.004
7/5/2019 4:00,0.008
7/5/2019 5:00,0.013
7/5/2019 6:00,0.009
7/5/2019 7:00,0.001
7/5/2019 8:00,0.029
7/5/2019 9:00,0.028
7/5/2019 10:00,0.013
7/5/2019 11:00,0.004
7/5/2019 12:00,0.002
7/5/2019 13:00,0.004
7/5/2019 14:00,0.015
7/5/2019 15:00,0.035
7/5/2019 16:00,0.073
7/5/2019 17:00,0.119
7/5/2019 18:00,0.095
7/5/2019 19:00,0.059
7/5/2019 20:00,0.037
7/5/2019 21:00,0.011
7/5/2019 22:00,0.004
7/5/2019 23:00,0.005
7/6/2019 0:00,0.011
7/6/2019 1:00,0.013
7/6/2019 2:00,0.005
7/6/2019 3:00,0
7/6/2019 4:00,0
7/6/2019 5:00,0.001
7/6/2019 6:00,0.005
7/6/2019 7:00,0
7/6/2019 8:00,0.058
7/6/2019 9:00,0.057
7/6/2019 10:00,0.033
7/6/2019 11:00,0.017
7/6/2019 12:00,0.013
7/6/2019 13:00,0.026
7/6/2019 14:00,0.054
7/6/2019 15:00,0.088
7/6/2019 16:00,0.131
7/6/2019 17:00,0.169
7/6/2019 18:00,0.167
7/6/2019 19:00,0.218
7/6/2019 20:00,0.285
7/6/2019 21:00,0.249
7/6/2019 22:00,0.212
7/6/2019 23:00,0.201
7/7/2019 0:00,0.177
7/7/2019 1:00,0.153
7/7/2019 2:00,0.138
7/7/2019 3:00,0.134
7/7/2019 4:00,0.123
7/7/2019 5:00,0.122
7/7/2019 6:00,0.057
7/7/2019 7:00,0.016
7/7/2019 8:00,0.073
7/7/2019 9:00,0.17
7/7/2019 10:00,0.244
7/7/2019 11:00,0.323
7/7/2019 12:00,0.425
7/7/2019 13:00,0.567
7/7/2019 14:00,0.602
7/7/2019 15:00,0.493
7/7/2019 16:00,0.341
7/7/2019 17:00,0.197
7/7/2019 18:00,0.083
7/7/2019 19:00,0.047
7/7/2019 20:00,0.082
7/7/2019 21:00,0.144
7/7/2019 22:00,0.201
7/7/2019 23:00,0.205
7/8/2019 0:00,0.168
7/8/2019 1:00,0.125
7/8/2019 2:00,0.124
7/8/2019 3:00,0.126
7/8/2019 4:00,0.124
7/8/2019 5:00,0.138
7/8/2019 6:00,0.067
7/8/2019 7:00,0.017
7/8/2019 8:00,0.042
7/8/2019 9:00,0.069
7/8/2019 10:00,0.104
7/8/2019 11:00,0.132
7/8/2019 12:00,0.136
7/8/2019 13:00,0.123
7/8/2019 14:00,0.099
7/8/2019 15:00,0.078
7/8/2019 16:00,0.072
7/8/2019 17:00,0.079
7/8/2019 18:00,0.08
7/8/2019 19:00,0.096
7/8/2019 20:00,0.205
7/8/2019 21:00,0.31
7/8/2019 22:00,0.279
7/8/2019 23:00,0.248
7/9/2019 0:00,0.254
7/9/2019 1:00,0.246
7/9/2019 2:00,0.187
7/9/2019 3:00,0.153
7/9/2019 4:00,0.16
7/9/2019 5:00,0.191
7/9/2019 6:00,0.081
7/9/2019 7:00,0.001
7/9/2019 8:00,0.006
7/9/2019 9:00,0.006
7/9/2019 10:00,0.011
7/9/2019 11:00,0.015
7/9/2019 12:00,0.015
7/9/2019 13:00,0.014
7/9/2019 14:00,0.017
7/9/2019 15:00,0.026
7/9/2019 16:00,0.048
7/9/2019 17:00,0.096
7/9/2019 18:00,0.112
7/9/2019 19:00,0.094
7/9/2019 20:00,0.099
7/9/2019 21:00,0.099
7/9/2019 22:00,0.123
7/9/2019 23:00,0.16
7/10/2019 0:00,0.187
7/10/2019 1:00,0.201
7/10/2019 2:00,0.179
7/10/2019 3:00,0.13
7/10/2019 4:00,0.094
7/10/2019 5:00,0.136
7/10/2019 6:00,0.057
7/10/2019 7:00,0.025
7/10/2019 8:00,0.032
7/10/2019 9:00,0.017
7/10/2019 10:00,0.014
