" ""local_time"": ""America/Chicago"""," ""electricity"": ""kW""}"
1/28/2019 9:00,0.011
1/28/2019 10:00,0.058
1/28/2019 11:00,0.107
1/28/2019 12:00,0.162
1/28/2019 13:00,0.213
1/28/2019 14:00,0.225
1/28/2019 15:00,0.189
1/28/2019 16:00,0.212
1/28/2019 17:00,0.313
1/28/2019 18:00,0.341
1/28/2019 19:00,0.32
1/28/2019 20:00,0.311
1/28/2019 21:00,0.331
1/28/2019 22:00,0.391
1/28/2019 23:00,0.462
4/1/2019 0:00,0.275
4/1/2019 1:00,0.241
4/1/2019 2:00,0.203
4/1/2019 3:00,0.279
4/1/2019 4:00,0.325
4/1/2019 5:00,0.362
4/1/2019 6:00,0.349
4/1/2019 7:00,0.31
4/1/2019 8:00,0.323
4/1/2019 9:00,0.245
4/1/2019 10:00,0.128
4/1/2019 11:00,0.057
4/1/2019 12:00,0.025
4/1/2019 13:00,0.009
4/1/2019 14:00,0.003
4/1/2019 15:00,0.001
4/1/2019 16:00,0
4/1/2019 17:00,0
4/1/2019 18:00,0
4/1/2019 19:00,0
4/1/2019 20:00,0.007
4/1/2019 21:00,0.148
4/1/2019 22:00,0.32
4/1/2019 23:00,0.219
4/2/2019 0:00,0.117
4/2/2019 1:00,0.181
4/2/2019 2:00,0.234
4/2/2019 3:00,0.235
4/2/2019 4:00,0.258
4/2/2019 5:00,0.274
4/2/2019 6:00,0.279
4/2/2019 7:00,0.191
4/2/2019 8:00,0.137
4/2/2019 9:00,0.214
4/2/2019 10:00,0.159
4/2/2019 11:00,0.095
4/2/2019 12:00,0.072
4/2/2019 13:00,0.084
4/2/2019 14:00,0.099
4/2/2019 15:00,0.101
4/2/2019 16:00,0.086
4/2/2019 17:00,0.074
4/2/2019 18:00,0.088
4/2/2019 19:00,0.115
4/2/2019 20:00,0.135
4/2/2019 21:00,0.128
4/2/2019 22:00,0.118
4/2/2019 23:00,0.124
4/3/2019 0:00,0.151
4/3/2019 1:00,0.192
4/3/2019 2:00,0.232
4/3/2019 3:00,0.264
4/3/2019 4:00,0.308
4/3/2019 5:00,0.337
4/3/2019 6:00,0.315
4/3/2019 7:00,0.154
4/3/2019 8:00,0.05
4/3/2019 9:00,0.05
4/3/2019 10:00,0.167
4/3/2019 11:00,0.153
4/3/2019 12:00,0.125
4/3/2019 13:00,0.119
4/3/2019 14:00,0.136
4/3/2019 15:00,0.179
4/3/2019 16:00,0.213
4/3/2019 17:00,0.231
4/3/2019 18:00,0.304
4/3/2019 19:00,0.424
4/3/2019 20:00,0.417
4/3/2019 21:00,0.352
4/3/2019 22:00,0.347
4/3/2019 23:00,0.353
4/4/2019 0:00,0.35
4/4/2019 1:00,0.344
4/4/2019 2:00,0.315
4/4/2019 3:00,0.266
4/4/2019 4:00,0.259
4/4/2019 5:00,0.283
4/4/2019 6:00,0.379
4/4/2019 7:00,0.252
4/4/2019 8:00,0.197
4/4/2019 9:00,0.319
4/4/2019 10:00,0.105
4/4/2019 11:00,0.11
4/4/2019 12:00,0.16
4/4/2019 13:00,0.209
4/4/2019 14:00,0.233
4/4/2019 15:00,0.154
4/4/2019 16:00,0.062
4/4/2019 17:00,0.056
4/4/2019 18:00,0.164
4/4/2019 19:00,0.315
4/4/2019 20:00,0.421
4/4/2019 21:00,0.51
4/4/2019 22:00,0.371
4/4/2019 23:00,0.305
4/5/2019 0:00,0.294
4/5/2019 1:00,0.217
4/5/2019 2:00,0.21
4/5/2019 3:00,0.155
4/5/2019 4:00,0.139
4/5/2019 5:00,0.093
4/5/2019 6:00,0.047
4/5/2019 7:00,0.024
4/5/2019 8:00,0.019
4/5/2019 9:00,0.028
4/5/2019 10:00,0.022
4/5/2019 11:00,0.018
4/5/2019 12:00,0.024
4/5/2019 13:00,0.041
4/5/2019 14:00,0.065
4/5/2019 15:00,0.059
4/5/2019 16:00,0.042
4/5/2019 17:00,0.027
4/5/2019 18:00,0.043
4/5/2019 19:00,0.105
4/5/2019 20:00,0.136
4/5/2019 21:00,0.14
4/5/2019 22:00,0.157
4/5/2019 23:00,0.168
4/6/2019 0:00,0.197
4/6/2019 1:00,0.2
4/6/2019 2:00,0.206
4/6/2019 3:00,0.205
4/6/2019 4:00,0.197
4/6/2019 5:00,0.168
4/6/2019 6:00,0.139
4/6/2019 7:00,0.111
4/6/2019 8:00,0.048
4/6/2019 9:00,0.055
4/6/2019 10:00,0.092
4/6/2019 11:00,0.123
4/6/2019 12:00,0.136
4/6/2019 13:00,0.164
4/6/2019 14:00,0.26
4/6/2019 15:00,0.305
4/6/2019 16:00,0.195
4/6/2019 17:00,0.124
4/6/2019 18:00,0.104
4/6/2019 19:00,0.165
4/6/2019 20:00,0.252
4/6/2019 21:00,0.3
4/6/2019 22:00,0.325
4/6/2019 23:00,0.338
4/7/2019 0:00,0.346
4/7/2019 1:00,0.343
4/7/2019 2:00,0.34
4/7/2019 3:00,0.334
4/7/2019 4:00,0.337
4/7/2019 5:00,0.336
4/7/2019 6:00,0.319
4/7/2019 7:00,0.221
4/7/2019 8:00,0.139
4/7/2019 9:00,0.213
4/7/2019 10:00,0.315
4/7/2019 11:00,0.348
4/7/2019 12:00,0.382
4/7/2019 13:00,0.422
4/7/2019 14:00,0.341
4/7/2019 15:00,0.262
4/7/2019 16:00,0.194
4/7/2019 17:00,0.139
4/7/2019 18:00,0.175
4/7/2019 19:00,0.323
4/7/2019 20:00,0.393
4/7/2019 21:00,0.277
4/7/2019 22:00,0.245
4/7/2019 23:00,0.314
4/8/2019 0:00,0.375
4/8/2019 1:00,0.323
4/8/2019 2:00,0.279
4/8/2019 3:00,0.294
4/8/2019 4:00,0.295
4/8/2019 5:00,0.309
4/8/2019 6:00,0.317
4/8/2019 7:00,0.323
4/8/2019 8:00,0.388
4/8/2019 9:00,0.36
4/8/2019 10:00,0.407
4/8/2019 11:00,0.441
4/8/2019 12:00,0.51
4/8/2019 13:00,0.596
4/8/2019 14:00,0.638
4/8/2019 15:00,0.674
4/8/2019 16:00,0.662
4/8/2019 17:00,0.597
4/8/2019 18:00,0.572
4/8/2019 19:00,0.59
4/8/2019 20:00,0.539
4/8/2019 21:00,0.469
4/8/2019 22:00,0.449
4/8/2019 23:00,0.447
4/9/2019 0:00,0.401
4/9/2019 1:00,0.313
4/9/2019 2:00,0.25
4/9/2019 3:00,0.237
4/9/2019 4:00,0.232
4/9/2019 5:00,0.263
4/9/2019 6:00,0.251
4/9/2019 7:00,0.182
4/9/2019 8:00,0.167
4/9/2019 9:00,0.155
4/9/2019 10:00,0.138
4/9/2019 11:00,0.16
4/9/2019 12:00,0.22
4/9/2019 13:00,0.314
4/9/2019 14:00,0.39
4/9/2019 15:00,0.415
4/9/2019 16:00,0.366
4/9/2019 17:00,0.317
4/9/2019 18:00,0.352
4/9/2019 19:00,0.435
4/9/2019 20:00,0.407
4/9/2019 21:00,0.344
4/9/2019 22:00,0.286
4/9/2019 23:00,0.247
4/10/2019 0:00,0.243
4/10/2019 1:00,0.261
4/10/2019 2:00,0.248
4/10/2019 3:00,0.226
4/10/2019 4:00,0.204
4/10/2019 5:00,0.199
4/10/2019 6:00,0.183
4/10/2019 7:00,0.062
4/10/2019 8:00,0.006
4/10/2019 9:00,0.01
4/10/2019 10:00,0.015
4/10/2019 11:00,0.001
4/10/2019 12:00,0
4/10/2019 13:00,0
4/10/2019 14:00,0
4/10/2019 15:00,0.009
4/10/2019 16:00,0.044
4/10/2019 17:00,0.08
4/10/2019 18:00,0.133
4/10/2019 19:00,0.278
4/10/2019 20:00,0.364
4/10/2019 21:00,0.364
4/10/2019 22:00,0.325
4/10/2019 23:00,0.294
4/11/2019 0:00,0.256
4/11/2019 1:00,0.219
4/11/2019 2:00,0.175
4/11/2019 3:00,0.135
4/11/2019 4:00,0.116
4/11/2019 5:00,0.124
4/11/2019 6:00,0.164
4/11/2019 7:00,0.122
4/11/2019 8:00,0.103
4/11/2019 9:00,0.3
4/11/2019 10:00,0.505
4/11/2019 11:00,0.593
4/11/2019 12:00,0.59
4/11/2019 13:00,0.553
